,w,Tx,Data Queue,Prediction,Analysis,Model Type
368,50,1,2.19,30.537000000000003,0.07100000000000001,Original
369,50,1,2.3440000000000003,28.402,0.062,Original
370,50,1,1.9689999999999999,26.596999999999998,0.058,Original
371,50,1,1.9980000000000002,25.111,0.062,Original
372,50,1,1.9680000000000002,26.997,0.063,Original
373,50,1,1.949,25.645999999999997,0.059,Original
374,50,1,1.916,25.590000000000003,0.093,Original
375,50,1,1.9689999999999999,25.836000000000002,0.062,Original
376,50,1,1.946,30.811,0.07200000000000001,Original
377,50,1,2.337,28.102999999999998,0.061,Original
378,50,1,1.908,25.884999999999998,0.106,Original
379,50,1,2.872,27.060000000000002,0.062,Original
380,50,1,2.9979999999999998,29.657,0.087,Original
381,50,1,2.313,28.195999999999998,0.07100000000000001,Original
382,50,1,2.5799999999999996,29.372,0.064,Original
